=======================================================================
ID     | NOME DO ALUNO                       | CURSO                    
=======================================================================
1      | Augusto Bonfim                      | Administracao            
2      | Marcia Mangueira                    | Administracao            
3      | Maria Sophia Hermingues Filho       | Enfermagem               
4      | Vitor das Neves                     | Arquitetura              
5      | Gabrielly da Nóbrega                | Psicologia               
6      | Marina Ordonhes                     | Ciencia da Computacao    
7      | Mércia Quarteira                    | Direito                  
8      | Lorenzo Garcês                      | Engenharia de Software   
9      | Luiz Henrique Carreira              | Agronomia                
10     | Ana Lívia da Gama                   | Direito                  
11     | Breno Brum                          | Arquitetura              
12     | Carla Cerqueira                     | Psicologia               
13     | Ana Munhoz                          | Direito                  
14     | Dra. Ana Cecília Cachoeira          | Ciencia da Computacao    
15     | Joana Negrão                        | Arquitetura              
16     | Mariana Monteira                    | Medicina                 
17     | Dr. Isaac Quaresma                  | Agronomia                
18     | Luana Ribeiro                       | Arquitetura              
19     | Nataniel Moraes Jr.                 | Sistemas de Informacao   
20     | Maria Helena Castelo                | Arquitetura              
21     | Danilo Dantas                       | Sistemas de Informacao   
22     | Murilo Nunes                        | Enfermagem               
23     | Yago Aragão                         | Administracao            
24     | Fábio do Prado                      | Ciencia da Computacao    
25     | Meire Macieira                      | Psicologia               
26     | Dr. Ana Sophia Sanches              | Enfermagem               
27     | Lara Palhares                       | Psicologia               
28     | Dra. Emanuel Pinto                  | Administracao            
29     | Ana Vitória Morais                  | Enfermagem               
30     | Heloísa Castro                      | Sistemas de Informacao   
31     | Tomás da Mota                       | Sistemas de Informacao   
32     | Bruna de Lins                       | Direito                  
33     | Célia Pereira                       | Ciencia da Computacao    
34     | Nataniel Ribas                      | Arquitetura              
35     | Marcelo Monteira                    | Ciencia da Computacao    
36     | Alessandro Munhoz Jr.               | Psicologia               
37     | Morgana Pedroso                     | Agronomia                
38     | Sr. Melissa Simão                   | Engenharia de Software   
39     | Márcia Solimões                     | Direito                  
40     | Marcela Soares                      | Ciencia da Computacao    
41     | Deneval Campos                      | Sistemas de Informacao   
42     | João Vitor Sá                       | Sistemas de Informacao   
43     | João Vitor Marins                   | Sistemas de Informacao   
44     | Marcia da Luz                       | Direito                  
45     | Natália de Borba                    | Arquitetura              
46     | Isabelly da Silveira Filho          | Psicologia               
47     | Antonella Pimenta                   | Sistemas de Informacao   
48     | Dr. Leonardo Veles                  | Enfermagem               
49     | Pedro Miguel da Veiga               | Administracao            
50     | Rebeca Laranjeira                   | Engenharia de Software   
51     | Arthur Henrique Ribeira             | Sistemas de Informacao   
52     | Marli Hernandes                     | Ciencia da Computacao    
53     | Davi de Lara                        | Direito                  
54     | Maria Helena de Lins                | Psicologia               
55     | Emilly Rolim                        | Sistemas de Informacao   
56     | Benjamin Antena                     | Sistemas de Informacao   
57     | Augusto Corte                       | Agronomia                
58     | Fabrícia Coutinho                   | Engenharia de Software   
59     | Janaína Meira Filho                 | Medicina                 
60     | Camila Castelo                      | Administracao            
61     | Fábio Ramalho                       | Medicina                 
62     | Maria Eduarda Caldas Neto           | Direito                  
63     | Vitor Hugo Peixoto                  | Agronomia                
64     | Salvador Vasques                    | Engenharia de Software   
65     | Beatriz da Conceição                | Arquitetura              
66     | Pietro Raia                         | Agronomia                
67     | Louise Assumpção                    | Medicina                 
68     | Ana Lívia Beltrão                   | Arquitetura              
69     | Rafael Hernandes                    | Arquitetura              
70     | João Vitor Carreira                 | Direito                  
71     | Dra. Anthony Ribeira                | Engenharia de Software   
72     | Márcio Almada Filho                 | Sistemas de Informacao   
73     | Sophie Santana                      | Arquitetura              
74     | Davi Miguel de Oliveira             | Psicologia               
75     | Sra. Felipe Ribas                   | Medicina                 
76     | Danilo Coqueiro                     | Arquitetura              
77     | Norberto Simão                      | Sistemas de Informacao   
78     | Isabelly Roseira                    | Direito                  
79     | Erick da Maia                       | Medicina                 
80     | Cecília da Mota                     | Psicologia               
81     | Lara Brum Filho                     | Medicina                 
82     | Agatha Dias                         | Engenharia de Software   
83     | Agatha Siqueira                     | Administracao            
84     | João Samuel Siqueira                | Medicina                 
85     | Roberto Barata                      | Agronomia                
86     | Thiago Monteiro                     | Direito                  
87     | Luiza Cerqueira                     | Agronomia                
88     | Gabriel Araújo                      | Engenharia de Software   
89     | Janaína Ribas Jr.                   | Ciencia da Computacao    
90     | Nataniel Rios                       | Direito                  
91     | Mirella da Silveira                 | Medicina                 
92     | Ígor Fontinhas                      | Direito                  
93     | Helena Aparício                     | Medicina                 
94     | Isabella da Fontoura Neto           | Engenharia de Software   
95     | Luiz Gustavo Rios                   | Ciencia da Computacao    
96     | Elísio Crespo                       | Psicologia               
97     | Cecília Santos                      | Medicina                 
98     | Dra. Sophia Leiria                  | Arquitetura              
99     | Sophia Santos                       | Sistemas de Informacao   
100    | Ígor Castanheira Jr.                | Arquitetura              
101    | Maria Sophia Melo                   | Arquitetura              
102    | Melissa Resende                     | Enfermagem               
103    | Allana Palhares                     | Arquitetura              
104    | Djalma Guterres Neto                | Sistemas de Informacao   
105    | Ana Júlia Muniz Jr.                 | Direito                  
106    | Arthur Miguel Custódio              | Administracao            
107    | Pedro Lucas Castelo Neto            | Agronomia                
108    | Maria Helena Morais                 | Medicina                 
109    | Maria Luiza da Silveira             | Ciencia da Computacao    
110    | Dra. Louise Castanho                | Ciencia da Computacao    
111    | Sra. Ana Vitória Brites             | Medicina                 
112    | Melissa Nogueira                    | Agronomia                
113    | Rafael de Oliveira Jr.              | Agronomia                
114    | Levi Fogaça                         | Medicina                 
115    | Maya da Maia                        | Administracao            
116    | Carlos Eduardo Albuquerque Neto     | Sistemas de Informacao   
117    | Meire Albuquerque Filho             | Direito                  
118    | Lucca de Lara                       | Medicina                 
119    | Alice da Paz                        | Enfermagem               
120    | Catarina Cardoso Jr.                | Arquitetura              
121    | Dr. Alessandro Crespo               | Agronomia                
122    | Isaac dos Reis                      | Ciencia da Computacao    
123    | João Samuel Cavalcanti              | Sistemas de Informacao   
124    | Mariah da Fontoura                  | Medicina                 
125    | Norberto Vimaranes                  | Agronomia                
126    | Sra. Henry da Barra                 | Administracao            
127    | Liz Araújo                          | Ciencia da Computacao    
128    | Aurora da Luz                       | Administracao            
129    | Ana Lívia Longuinho                 | Engenharia de Software   
130    | Aurora Xavier                       | Arquitetura              
131    | Mirella de Sá                       | Ciencia da Computacao    
132    | Luiz Otávio Fernandes               | Enfermagem               
133    | Camila Silva Neto                   | Administracao            
134    | Ladislau de Quadros                 | Psicologia               
135    | Carla Reis Neto                     | Arquitetura              
136    | Margarida Caldas                    | Sistemas de Informacao   
137    | Dra. Caio Sais                      | Medicina                 
138    | Isabelly Xavier                     | Medicina                 
